property_id,transaction_year,location,property_type,built_up_sqft,bedrooms,bathrooms,tenure,price_rm,price_per_sqft,near_transit
1,2020,Wangsa Maju,Condo,625,3,2,Freehold,318750,510,Yes
2,2020,Bangsar,Condo,1032,1,1,Freehold,878232,851,Yes
3,2020,Setapak,Condo,1174,1,2,Freehold,572912,488,No
4,2020,Bangsar,Condo,1032,2,2,Freehold,1013424,982,Yes
5,2020,Mont Kiara,Condo,694,2,1,Leasehold,707880,1020,No
6,2020,Bangsar,Apartment,1149,1,2,Freehold,1101891,959,No
7,2020,Setapak,Apartment,1191,1,1,Freehold,602646,506,Yes
8,2020,Bangsar,Condo,703,2,2,Leasehold,589817,839,No
9,2020,Mont Kiara,Condo,873,3,1,Freehold,813636,932,Yes
10,2020,Cheras,Apartment,1170,1,2,Freehold,647010,553,Yes
11,2020,Mont Kiara,Apartment,874,1,1,Leasehold,901094,1031,Yes
12,2020,Cheras,Apartment,746,2,1,Freehold,406570,545,No
13,2020,Cheras,Apartment,970,1,1,Leasehold,529620,546,Yes
14,2020,Bangsar,Condo,763,3,2,Freehold,669914,878,No
15,2020,Cheras,Apartment,1166,1,1,Leasehold,558514,479,No
16,2020,Cheras,Condo,1064,1,2,Freehold,593712,558,Yes
17,2020,Mont Kiara,Condo,756,2,1,Freehold,753732,997,No
18,2020,Bangsar,Apartment,914,1,1,Freehold,754050,825,Yes
19,2020,Cheras,Condo,1145,1,1,Leasehold,566775,495,Yes
20,2020,Setapak,Apartment,816,3,1,Leasehold,430032,527,No
21,2020,Wangsa Maju,Apartment,1048,3,2,Freehold,543912,519,Yes
22,2020,Mont Kiara,Condo,1167,1,1,Freehold,1214847,1041,Yes
23,2020,Bangsar,Condo,669,1,2,Freehold,575340,860,Yes
24,2020,Cheras,Condo,1152,1,2,Freehold,634752,551,No
25,2020,KLCC,Condo,699,3,2,Leasehold,1029627,1473,No
26,2021,Wangsa Maju,Condo,700,1,2,Leasehold,380100,543,Yes
27,2021,KLCC,Apartment,743,2,1,Leasehold,1100383,1481,No
28,2021,Bangsar,Apartment,1163,1,1,Freehold,1180445,1015,Yes
29,2021,KLCC,Condo,1016,2,2,Freehold,1711960,1685,No
30,2021,KLCC,Apartment,602,2,2,Leasehold,924070,1535,No
31,2021,Wangsa Maju,Apartment,758,1,2,Freehold,440398,581,Yes
32,2021,Setapak,Condo,921,1,1,Leasehold,418134,454,Yes
33,2021,Setapak,Condo,790,1,1,Freehold,364190,461,No
34,2021,Setapak,Condo,1192,3,1,Freehold,612688,514,No
35,2021,Setapak,Apartment,867,1,2,Freehold,423096,488,No
36,2021,Wangsa Maju,Apartment,1068,2,1,Freehold,624780,585,No
37,2021,Setapak,Condo,675,3,1,Leasehold,365850,542,Yes
38,2021,Bangsar,Condo,978,2,1,Leasehold,934968,956,No
39,2021,Wangsa Maju,Condo,1167,2,1,Freehold,616176,528,No
40,2021,Bangsar,Condo,878,2,1,Leasehold,852538,971,Yes
41,2021,Mont Kiara,Apartment,857,1,1,Leasehold,809865,945,No
42,2021,Mont Kiara,Condo,868,1,2,Leasehold,832412,959,Yes
43,2021,Wangsa Maju,Condo,1158,1,2,Freehold,612582,529,No
44,2021,Mont Kiara,Apartment,640,2,1,Freehold,645760,1009,Yes
45,2021,Setapak,Apartment,758,1,1,Freehold,341858,451,No
46,2021,Wangsa Maju,Apartment,1021,3,1,Leasehold,616684,604,Yes
